build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url
BUILD_5B444DD5,CAR_B6CF4A99,Mitsubishi,Lancer Evo X,CZ4A 2.0 4B11T,2010,Turbo Upgrade;FMIC;Injectors;Stage 3 ECU;Exhaust,Garrett GTX3076R + FMIC + 1050cc injectors + EvoTune aggressive map,550,640,3.4,290,10.8,dyno,community,static_curated
BUILD_3FA92D60,CAR_810C303A,Ford,Focus ST,Mk3 2.0 EcoBoost,2014,Stage 1 ECU;Intake,Mountune Stage 1 remap + upgraded intake,282,395,5.8,256,13.8,dyno,community,static_curated
BUILD_0E80941A,CAR_810C303A,Ford,Focus ST,Mk3 2.0 EcoBoost,2014,Stage 2 ECU;FMIC;Intake;Downpipe,Mountune MP275: ECU + FMIC + intake + downpipe,315,440,5.2,263,13.2,dyno,community,static_curated
BUILD_19C2A555,CAR_0385B6A8,Toyota,GR Yaris,GXPA16 1.6 G16E-GTS,2021,Stage 1 ECU;Intake,Ecutek Stage 1 + Ramair intake,295,405,5.0,240,13.3,dyno,community,static_curated
BUILD_32772629,CAR_0385B6A8,Toyota,GR Yaris,GXPA16 1.6 G16E-GTS,2021,Stage 2 ECU;FMIC;Intake;Exhaust,Ecutek Stage 2 + Wagner FMIC + catback exhaust,365,475,4.3,256,12.4,dyno,community,static_curated
BUILD_149F98A1,CAR_BC5038A5,Mercedes,A45 AMG,W176 2.0 M133,2016,Stage 1 ECU;Intake,Weistec W.1 ECU upgrade + performance intake,418,535,4.0,280,12.2,dyno,community,static_curated
BUILD_DD7C84FA,CAR_56F83E9F,Skoda,Octavia RS,5E 2.0 TSI,2017,Stage 1 ECU;Intake,Unitronic Stage 1 + K&N panel filter,268,385,6.1,256,14.0,dyno,community,static_curated
BUILD_E8B3A6B9,CAR_56F83E9F,Skoda,Octavia RS,5E 2.0 TSI,2017,Stage 2 ECU;FMIC;Downpipe;Intake;DSG Tune,Unitronic Stage 2 full package with DSG flash,355,465,5.2,266,13.0,dyno,community,static_curated
BUILD_12114361,CAR_375399BD,Renault,Megane RS,Mk4 280 EDC,2019,Stage 1 ECU,Remap to 340 hp — bolt-on only,340,430,5.5,265,13.6,dyno,community,static_curated
BUILD_869F139D,CAR_4DD174A1,Porsche,911 Carrera,992 3.0 T,2020,Stage 1 ECU,Softronic / TechArt ECU Stage 1,450,570,3.8,305,11.9,dyno,community,static_curated
BUILD_DC7E3215,CAR_DD426F4C,VW,Polo GTI,AW 2.0 TSI,2019,Stage 1 ECU,Revo Stage 1 remap only,235,335,6.3,242,14.4,dyno,community,static_curated
BUILD_74B7D5E0,CAR_10E5D6D9,SEAT,Leon Cupra,5F 2.0 TSI,2017,Stage 2 ECU;Downpipe;FMIC;Intake;DSG Tune,Revo Stage 2 + downpipe + FMIC + intake + DSG,370,460,4.9,272,13.1,dyno,community,static_curated
