build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url,confidence
BUILD_EAA90E88,,Mercedes-Benz,E320,CDI,2005.0,,Engine 3.2L I-6 4-valves CDI turbo diesel; Turbos 1; Supercharger Boost Control; Intercooler air / air; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Computer ECU RennTech; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,185.2,300.0,8.43,,15.053,measured,dragtimes,https://www.dragtimes.com/Mercedes-Benz-E320-Timeslip-6916.html,0.6
BUILD_1ABE04F5,,Chrysler,300,C AWD,2008.0,,Engine 5.7; Turbos 7875 Billet; Supercharger Boost Control; Intercooler 31x12x4; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe 2.5; Exhaust Carburetor; Computer ECU tuned stock; Clutch 3200 stall; Boost Control :; Pistons :; Pulley Transmission,,,5.87,,10.482,measured,dragtimes,https://www.dragtimes.com/Chrysler-300-Timeslip-29743.html,0.6
BUILD_69F4A661,,Tesla,Model 3,AWD AB,2020.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.57,,11.74,measured,dragtimes,https://www.dragtimes.com/Tesla-Model-3-Timeslip-32814.html,0.6
BUILD_5832311D,,Jaguar,F-Type,R,2016.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter BMC Air Filters; Headers /; Downpipe VAP High Flow Cats; Exhaust Carburetor; Computer ECU VAP Tune; Clutch Differential; Boost Control :; Pistons :; Pulley VAP Upper & Lower Supercharger Pulleys,588.0,553.0,6.01,,10.73,measured,dragtimes,https://www.dragtimes.com/Jaguar-F-Type-Timeslip-32353.html,0.6
BUILD_91BDCA18,,Chevrolet,Corvette ZR1,ZR1X,2026.0,,Engine 5.5L V8 Twin Turbo Hybrid; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,4.9,,8.742,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-ZR1-Timeslip-32809.html,0.6
BUILD_740D2C5C,,Lamborghini,Temerario,Alleggerita,2026.0,,Engine 4.0L Twin Turbo V8 Hybrid; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.38,,9.608,measured,dragtimes,https://www.dragtimes.com/Lamborghini-Temerario-Timeslip-32803.html,0.6
BUILD_B88FE2D9,,Nissan,GT-R,williamsbrosracing,2015.0,,Engine Forged; Turbos ETS1700; Supercharger Boost Control; Intercooler Nelo; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Custom; Exhaust Custom; Computer ECU Ecutek; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,4.69,,8.369,measured,dragtimes,https://www.dragtimes.com/Nissan-GT-R-Timeslip-31834.html,0.6
BUILD_870F5190,,Chevrolet,Corvette ZR1,Car Year:,2026.0,,Engine 5.5L Twin Turbo V8; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.19,,9.27,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-ZR1-Timeslip-32778.html,0.6
BUILD_4C5FE901,,Dodge,Caravan,Car Year:,1989.0,,Engine 2.5L; Turbos Garrett G30-770; Supercharger Boost Control; Intercooler Frozen Boost A2W Type 14; Nitrous Kit :; Intake & Air Filter Custom centerfeed; Headers /; Downpipe Custom 1 5/8 primary header 4 inch downpipe; Exhaust Dynomax 3 inch; Computer ECU Holley Dominator; Clutch A1 performance Custom; Boost Control :; Pistons :; Pulley Transmission,600.0,,5.97,,10.66,measured,dragtimes,https://www.dragtimes.com/Dodge-Caravan-Timeslip-32222.html,0.6
BUILD_8EFABF4E,,Mercedes-Benz,SL55 AMG,SL55,2003.0,,"Engine Built,Sleeved Dan Benson stock bore; Turbos Supercharger:; Supercharger VRP Whipple kit 3.0; Intercooler Dual top mount Modified DTK; Nitrous Kit :; Intake & Air Filter Clk dtm no bypass ,ported; Headers /; Downpipe MBH; Exhaust MBH ,JBE X Pipe ,stock mufflers; Computer ECU Stock ECU Tuned by Alex S brooklyn NY; Clutch Pro Torque; Boost Control :; Pistons :; Pulley 195/65",,,5.12,,9.15,measured,dragtimes,https://www.dragtimes.com/Mercedes-Benz-SL55-AMG-Timeslip-31751.html,0.6
BUILD_70D89CD3,,Lexus,GS400,Car Year:,1998.0,,Engine 4.0 1uz-fe vvti; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Boost Control :; Pistons :; Pulley Transmission,,,7.54,,13.463,measured,dragtimes,https://www.dragtimes.com/Lexus-GS400-Timeslip-32733.html,0.6
BUILD_522A235A,,Buell,1125,1125R,2008.0,,Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.29,,9.45,measured,dragtimes,https://www.dragtimes.com/Buell-1125-Timeslip-32752.html,0.6
BUILD_A2554D20,,Ford,Mustang Shelby-GT500,GT500,2007.0,,Engine 5.4L Iron Block; Turbos Supercharger:; Intercooler VMP triple pass w/fans; Nitrous Kit :; Intake & Air Filter JLT 123mm; Headers /; Exhaust Borla; Computer ECU VMP 93 tune; Boost Control :; Pistons :; Pulley 2.5,,,6.66,,11.89,measured,dragtimes,https://www.dragtimes.com/Ford-Mustang-Shelby-GT500-Timeslip-32749.html,0.6
BUILD_E48CE52A,,Chevrolet,Camaro,ls3,2010.0,,Engine ls3; Turbos Supercharger:; Supercharger tvs 2300; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe 4-1; Exhaust Carburetor; Computer ECU HP tuner; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.92,,10.563,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Camaro-Timeslip-32741.html,0.6
BUILD_71CAAEA4,,BMW,M550i,X-drive,2020.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Mod3 Stage 2; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.44,,11.508,measured,dragtimes,https://www.dragtimes.com/BMW-M550i-Timeslip-32731.html,0.6
BUILD_13B69FA8,,BMW,X5 M,Car Year:,2025.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.71,,11.975,measured,dragtimes,https://www.dragtimes.com/BMW-X5-M-Timeslip-32738.html,0.6
BUILD_73F72367,,BMW,M8,Competition Coupe,2020.0,,Engine 4.4l twin turbo; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU JB4 map 2; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.87,,10.482,measured,dragtimes,https://www.dragtimes.com/BMW-M8-Timeslip-32748.html,0.6
BUILD_838F7701,,Tesla,Model 3,Performance,2024.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.97,,10.664,measured,dragtimes,https://www.dragtimes.com/Tesla-Model-3-Timeslip-32729.html,0.6
BUILD_95F12FE1,,Tesla,Model S,Plaid,2026.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Modified Software; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.11,,9.124,measured,dragtimes,https://www.dragtimes.com/Tesla-Model-S-Timeslip-32750.html,0.6
BUILD_3E441BE1,,Chrysler,Crossfire,SRT-6 Roadster,2005.0,,Engine 100% stock; Turbos Supercharger:; Supercharger Stock / 92mm throttle body; Intercooler 100% stock V-intercooler / M113K sized front intercooler; Nitrous Kit :; Intake & Air Filter Blower Guard; Headers /; Computer ECU Eurocharged; Boost Control :; Pistons :; Pulley 65mm,,,6.33,,11.308,measured,dragtimes,https://www.dragtimes.com/Chrysler-Crossfire-Timeslip-32740.html,0.6
BUILD_661F4D00,,Chevrolet,Cruze,LS,2014.0,,Engine 1.8 LUW; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,7.16,,12.789,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Cruze-Timeslip-32743.html,0.6
BUILD_AE802C33,,Ford,Mustang,LX,1993.0,,Engine 347; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Edelbrock rpm air gap; Headers /; Downpipe 1 5/8; Exhaust Carburetor; Computer ECU Battery:; Boost Control :; Pistons :; Pulley Transmission,,,6.4,,11.43,measured,dragtimes,https://www.dragtimes.com/Ford-Mustang-Timeslip-32745.html,0.6
BUILD_6E78C692,,Ford,Mustang Shelby-GT500,GT500,2007.0,,Engine 5.4L Iron Block; Turbos Supercharger:; Supercharger Stock M122; Intercooler VMP triple pass w/fans; Nitrous Kit :; Intake & Air Filter JLT 123mm; Headers /; Downpipe Midpipe; Exhaust Borla; Computer ECU VMP 93 tune; Clutch Differential; Boost Control :; Pistons :; Pulley 2.5,,,6.52,,11.644,measured,dragtimes,https://www.dragtimes.com/Ford-Mustang-Shelby-GT500-Timeslip-32755.html,0.6
BUILD_202EF72C,,Jaguar,XK,Car Year:,2007.0,,Engine AJ41 (4.4); Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe 400 cell; Exhaust XKR; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,7.64,,13.64,measured,dragtimes,https://www.dragtimes.com/Jaguar-XK-Timeslip-32736.html,0.6
BUILD_EC0B2F13,,Fiat,500,Abarth,2024.0,,Nitrous Kit :; Intake & Air Filter Custom 2.75”; Headers /; Downpipe Custom Decat; Boost Control :; Pistons :,,,8.08,,14.43,measured,dragtimes,https://www.dragtimes.com/Fiat-500-Timeslip-32747.html,0.6
BUILD_97EE0EAE,,Oldsmobile,Intrigue,GLS,1998.0,,Engine 3800 (L36); Nitrous Kit :; Intake & Air Filter ZZP Cold Air Intake; Headers /; Downpipe ZZP Front and Rear SS Power Logs; Exhaust Cat-Back OEM Exhaust; Computer ECU ZZP 1.0 PCM; Clutch Stock Torque Converter; Boost Control :; Pistons :; Pulley ZZP U / D Water Pump Pulley,,,8.35,,14.912,measured,dragtimes,https://www.dragtimes.com/Oldsmobile-Intrigue-Timeslip-32730.html,0.6
BUILD_6E626CE7,,BMW,135i,Coupe,2008.0,,Engine N54; Turbos Twin Turbos; Supercharger Boost Control; Intercooler 7.5” VRSF; Nitrous Kit :; Intake & Air Filter BMS Double Cone; Headers /; Downpipe VRSF; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.57,,9.94,measured,dragtimes,https://www.dragtimes.com/BMW-135i-Timeslip-32744.html,0.6
BUILD_32578663,,Audi,RS-3,Car Year:,2025.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.61,,11.797,measured,dragtimes,https://www.dragtimes.com/Audi-RS-3-Timeslip-32742.html,0.6
BUILD_18B6C875,,Dodge,Charger,Scat Pack,2018.0,,Nitrous Kit :; Headers /; Boost Control :; Pistons :,,,6.61,,11.801,measured,dragtimes,https://www.dragtimes.com/Dodge-Charger-Timeslip-31641.html,0.6
BUILD_90579EAA,,Dodge,Charger,Daytona Scat Pack EV,2024.0,,Engine EV; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.4,,11.432,measured,dragtimes,https://www.dragtimes.com/Dodge-Charger-Timeslip-32709.html,0.6
BUILD_8F2008E7,,Jaguar,XKR,Convertible,2008.0,,Engine 4.2; Turbos Supercharger:; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley 1.5lb,426.0,430.0,7.06,,12.61,measured,dragtimes,https://www.dragtimes.com/Jaguar-XKR-Timeslip-30329.html,0.6
BUILD_C810E518,CAR_0E6A451B,Audi,A6,rs 6 (comfort and sound pack) 600ps tiptronic quattro auto 5d,2020.0,MOD_3BD6FDD6,Stage 1 ECU Remap — Petrol Turbo,690.0,1012.1,3.19,,,synthetic,synthetic,synthetic,0.4
