build_id,car_id,make,model,variant,year,mods_applied,mod_description,result_hp,result_torque,result_0_100,result_top_speed,result_quarter_mile,measurement_type,source_type,source_url,result_torque_nm,confidence
BUILD_3FA92D60,CAR_810C303A,Ford,Focus ST,Mk3 2.0 EcoBoost,2014.0,Stage 1 ECU;Intake,Mountune Stage 1 remap + upgraded intake,282.0,395,5.8,256.0,13.8,dyno,community,static_curated,,
BUILD_0E80941A,CAR_810C303A,Ford,Focus ST,Mk3 2.0 EcoBoost,2014.0,Stage 2 ECU;FMIC;Intake;Downpipe,Mountune MP275: ECU + FMIC + intake + downpipe,315.0,440,5.2,263.0,13.2,dyno,community,static_curated,,
BUILD_19C2A555,CAR_0385B6A8,Toyota,GR Yaris,GXPA16 1.6 G16E-GTS,2021.0,Stage 1 ECU;Intake,Ecutek Stage 1 + Ramair intake,295.0,405,5.0,240.0,13.3,dyno,community,static_curated,,
BUILD_32772629,CAR_0385B6A8,Toyota,GR Yaris,GXPA16 1.6 G16E-GTS,2021.0,Stage 2 ECU;FMIC;Intake;Exhaust,Ecutek Stage 2 + Wagner FMIC + catback exhaust,365.0,475,4.3,256.0,12.4,dyno,community,static_curated,,
BUILD_149F98A1,CAR_BC5038A5,Mercedes,A45 AMG,W176 2.0 M133,2016.0,Stage 1 ECU;Intake,Weistec W.1 ECU upgrade + performance intake,418.0,535,4.0,280.0,12.2,dyno,community,static_curated,,
BUILD_DD7C84FA,CAR_56F83E9F,Skoda,Octavia RS,5E 2.0 TSI,2017.0,Stage 1 ECU;Intake,Unitronic Stage 1 + K&N panel filter,268.0,385,6.1,256.0,14.0,dyno,community,static_curated,,
BUILD_E8B3A6B9,CAR_56F83E9F,Skoda,Octavia RS,5E 2.0 TSI,2017.0,Stage 2 ECU;FMIC;Downpipe;Intake;DSG Tune,Unitronic Stage 2 full package with DSG flash,355.0,465,5.2,266.0,13.0,dyno,community,static_curated,,
BUILD_12114361,CAR_375399BD,Renault,Megane RS,Mk4 280 EDC,2019.0,Stage 1 ECU,Remap to 340 hp — bolt-on only,340.0,430,5.5,265.0,13.6,dyno,community,static_curated,,
BUILD_869F139D,CAR_4DD174A1,Porsche,911 Carrera,992 3.0 T,2020.0,Stage 1 ECU,Softronic / TechArt ECU Stage 1,450.0,570,3.8,305.0,11.9,dyno,community,static_curated,,
BUILD_DC7E3215,CAR_DD426F4C,VW,Polo GTI,AW 2.0 TSI,2019.0,Stage 1 ECU,Revo Stage 1 remap only,235.0,335,6.3,242.0,14.4,dyno,community,static_curated,,
BUILD_74B7D5E0,CAR_10E5D6D9,SEAT,Leon Cupra,5F 2.0 TSI,2017.0,Stage 2 ECU;Downpipe;FMIC;Intake;DSG Tune,Revo Stage 2 + downpipe + FMIC + intake + DSG,370.0,460,4.9,272.0,13.1,dyno,community,static_curated,,
BUILD_3B11808C,,Chevrolet,Corvette,Coupe,2006.0,,Engine LS2; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU currently can't Tune auto Trans; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,7.29,,13.021,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-Timeslip-9909.html,,
BUILD_90F6451E,,Mitsubishi,3000GT,VR4,1994.0,,Engine 3.0 L V6; Turbos twin AGP L1R; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust custom; Computer ECU AEM; Clutch RPS Carbon-Carbon TwinDisc; Boost Control :; Pistons :; Pulley Transmission,,,5.83,,10.416,measured,dragtimes,https://www.dragtimes.com/Mitsubishi-3000GT-Timeslip-7149.html,,
BUILD_808FFACA,,Mitsubishi,Lancer EVO,IX,2006.0,,Nitrous Kit :; Intake & Air Filter Buschur; Headers /; Downpipe Buschur; Exhaust Buschur; Computer ECU Dynoflashed; Clutch Exedy Twin HD; Boost Control :; Pistons :,,,6.47,,11.56,measured,dragtimes,https://www.dragtimes.com/Mitsubishi-Lancer-EVO-Timeslip-8454.html,,
BUILD_BB653A14,,Mercedes-Benz,CL65 AMG,Car Year:,2005.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler CM030 pump; Nitrous Kit :; Intake & Air Filter BMC Drop-in filters; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.28,,11.209,measured,dragtimes,https://www.dragtimes.com/Mercedes-Benz-CL65-AMG-Timeslip-17956.html,,
BUILD_615BAD80,,Mitsubishi,Eclipse,GSX,1992.0,,Engine 2.0L Stock; Turbos Buschur BR440; Intercooler Buschur Race; Nitrous Kit :; Intake & Air Filter Venom; Headers /; Downpipe Extreme 3; Exhaust Extreme 3; Computer ECU DSM Chips; Clutch Clutchmasters Stage 4 (4puck); Boost Control :; Pistons :,,,6.42,,11.465,measured,dragtimes,https://www.dragtimes.com/Mitsubishi-Eclipse-Timeslip-7855.html,,
BUILD_7BF4A87D,,Chevrolet,Chevy,Base 2 dr,1977.0,,Engine 1970 heavy 350 stock bore; Turbos No; Supercharger No; Intercooler No; Nitrous Kit :; Intake & Air Filter Open plenum; Headers /; Downpipe 1 3/4; Exhaust No; Computer ECU Na; Clutch Cone; Boost Control :; Pistons :; Pulley Na,,,5.99,,10.7,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Chevy-Timeslip-28605.html,,
BUILD_33C9AF31,,Subaru,Outback,2.5XT Limited,2005.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,8.74,,15.61,measured,dragtimes,https://www.dragtimes.com/Subaru-Outback-Timeslip-3540.html,,
BUILD_1CCCD5D5,,Honda,Prelude,2.0-16 Turbo,1989.0,,Engine B20A; Turbos Garret T28; Supercharger Boost Control; Intercooler Huge!!  (ex Volvo Truck); Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Custom; Exhaust Dytec; Computer ECU Link V5; Clutch Heavy duty 4 puck; Boost Control :; Pistons :; Pulley Transmission,,,7.77,,13.88,measured,dragtimes,https://www.dragtimes.com/Honda-Prelude-Timeslip-4872.html,,
BUILD_B8B4710D,,Dodge,Neon SRT-4,srt4,2005.0,,Engine 2.4L; Turbos stock turbo; Supercharger no; Intercooler yes   ssac; Nitrous Kit :; Intake & Air Filter aem; Headers /; Downpipe mpx; Exhaust mpx; Computer ECU stage 1; Clutch clucth master stage 4; Boost Control :; Pistons :; Pulley mpx,,,7.09,,12.655,measured,dragtimes,https://www.dragtimes.com/Dodge-Neon-SRT-4-Timeslip-14344.html,,
BUILD_1723FD41,,Chevrolet,Corvette,Supercharged with Nitrous,2000.0,,Engine Turbos:; Turbos Supercharger:; Supercharger procharger; Intercooler single; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch pro torque; Boost Control :; Pistons :; Pulley Transmission,,,5.46,,9.75,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-Timeslip-8155.html,,
BUILD_C05247EF,,Chevrolet,Corvette,Car Year:,1970.0,,Engine 511 ci; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,4.98,,8.898,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-Timeslip-6483.html,,
BUILD_EAA90E88,,Mercedes-Benz,E320,CDI,2005.0,,Engine 3.2L I-6 4-valves CDI turbo diesel; Turbos 1; Supercharger Boost Control; Intercooler air / air; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Computer ECU RennTech; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,185.2,,8.43,,15.053,measured,dragtimes,https://www.dragtimes.com/Mercedes-Benz-E320-Timeslip-6916.html,,
BUILD_1ABE04F5,,Chrysler,300,C AWD,2008.0,,Engine 5.7; Turbos 7875 Billet; Supercharger Boost Control; Intercooler 31x12x4; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe 2.5; Exhaust Carburetor; Computer ECU tuned stock; Clutch 3200 stall; Boost Control :; Pistons :; Pulley Transmission,,,5.87,,10.482,measured,dragtimes,https://www.dragtimes.com/Chrysler-300-Timeslip-29743.html,,
BUILD_69F4A661,,Tesla,Model 3,AWD AB,2020.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.57,,11.74,measured,dragtimes,https://www.dragtimes.com/Tesla-Model-3-Timeslip-32814.html,,
BUILD_5832311D,,Jaguar,F-Type,R,2016.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter BMC Air Filters; Headers /; Downpipe VAP High Flow Cats; Exhaust Carburetor; Computer ECU VAP Tune; Clutch Differential; Boost Control :; Pistons :; Pulley VAP Upper & Lower Supercharger Pulleys,588.0,,6.01,,10.73,measured,dragtimes,https://www.dragtimes.com/Jaguar-F-Type-Timeslip-32353.html,,
BUILD_91BDCA18,,Chevrolet,Corvette ZR1,ZR1X,2026.0,,Engine 5.5L V8 Twin Turbo Hybrid; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,4.9,,8.742,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-ZR1-Timeslip-32809.html,,
BUILD_740D2C5C,,Lamborghini,Temerario,Alleggerita,2026.0,,Engine 4.0L Twin Turbo V8 Hybrid; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.38,,9.608,measured,dragtimes,https://www.dragtimes.com/Lamborghini-Temerario-Timeslip-32803.html,,
BUILD_B88FE2D9,,Nissan,GT-R,williamsbrosracing,2015.0,,Engine Forged; Turbos ETS1700; Supercharger Boost Control; Intercooler Nelo; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Custom; Exhaust Custom; Computer ECU Ecutek; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,4.69,,8.369,measured,dragtimes,https://www.dragtimes.com/Nissan-GT-R-Timeslip-31834.html,,
BUILD_870F5190,,Chevrolet,Corvette ZR1,Car Year:,2026.0,,Engine 5.5L Twin Turbo V8; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.19,,9.27,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Corvette-ZR1-Timeslip-32778.html,,
BUILD_4C5FE901,,Dodge,Caravan,Car Year:,1989.0,,Engine 2.5L; Turbos Garrett G30-770; Supercharger Boost Control; Intercooler Frozen Boost A2W Type 14; Nitrous Kit :; Intake & Air Filter Custom centerfeed; Headers /; Downpipe Custom 1 5/8 primary header 4 inch downpipe; Exhaust Dynomax 3 inch; Computer ECU Holley Dominator; Clutch A1 performance Custom; Boost Control :; Pistons :; Pulley Transmission,600.0,,5.97,,10.66,measured,dragtimes,https://www.dragtimes.com/Dodge-Caravan-Timeslip-32222.html,,
BUILD_8EFABF4E,,Mercedes-Benz,SL55 AMG,SL55,2003.0,,"Engine Built,Sleeved Dan Benson stock bore; Turbos Supercharger:; Supercharger VRP Whipple kit 3.0; Intercooler Dual top mount Modified DTK; Nitrous Kit :; Intake & Air Filter Clk dtm no bypass ,ported; Headers /; Downpipe MBH; Exhaust MBH ,JBE X Pipe ,stock mufflers; Computer ECU Stock ECU Tuned by Alex S brooklyn NY; Clutch Pro Torque; Boost Control :; Pistons :; Pulley 195/65",,,5.12,,9.15,measured,dragtimes,https://www.dragtimes.com/Mercedes-Benz-SL55-AMG-Timeslip-31751.html,,
BUILD_70D89CD3,,Lexus,GS400,Car Year:,1998.0,,Engine 4.0 1uz-fe vvti; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Boost Control :; Pistons :; Pulley Transmission,,,7.54,,13.463,measured,dragtimes,https://www.dragtimes.com/Lexus-GS400-Timeslip-32733.html,,
BUILD_522A235A,,Buell,1125,1125R,2008.0,,Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.29,,9.45,measured,dragtimes,https://www.dragtimes.com/Buell-1125-Timeslip-32752.html,,
BUILD_A2554D20,,Ford,Mustang Shelby-GT500,GT500,2007.0,,Engine 5.4L Iron Block; Turbos Supercharger:; Intercooler VMP triple pass w/fans; Nitrous Kit :; Intake & Air Filter JLT 123mm; Headers /; Exhaust Borla; Computer ECU VMP 93 tune; Boost Control :; Pistons :; Pulley 2.5,,,6.66,,11.89,measured,dragtimes,https://www.dragtimes.com/Ford-Mustang-Shelby-GT500-Timeslip-32749.html,,
BUILD_E48CE52A,,Chevrolet,Camaro,ls3,2010.0,,Engine ls3; Turbos Supercharger:; Supercharger tvs 2300; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe 4-1; Exhaust Carburetor; Computer ECU HP tuner; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.92,,10.563,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Camaro-Timeslip-32741.html,,
BUILD_71CAAEA4,,BMW,M550i,X-drive,2020.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Mod3 Stage 2; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.44,,11.508,measured,dragtimes,https://www.dragtimes.com/BMW-M550i-Timeslip-32731.html,,
BUILD_13B69FA8,,BMW,X5 M,Car Year:,2025.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.71,,11.975,measured,dragtimes,https://www.dragtimes.com/BMW-X5-M-Timeslip-32738.html,,
BUILD_73F72367,,BMW,M8,Competition Coupe,2020.0,,Engine 4.4l twin turbo; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU JB4 map 2; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.87,,10.482,measured,dragtimes,https://www.dragtimes.com/BMW-M8-Timeslip-32748.html,,
BUILD_838F7701,,Tesla,Model 3,Performance,2024.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.97,,10.664,measured,dragtimes,https://www.dragtimes.com/Tesla-Model-3-Timeslip-32729.html,,
BUILD_95F12FE1,,Tesla,Model S,Plaid,2026.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Modified Software; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.11,,9.124,measured,dragtimes,https://www.dragtimes.com/Tesla-Model-S-Timeslip-32750.html,,
BUILD_3E441BE1,,Chrysler,Crossfire,SRT-6 Roadster,2005.0,,Engine 100% stock; Turbos Supercharger:; Supercharger Stock / 92mm throttle body; Intercooler 100% stock V-intercooler / M113K sized front intercooler; Nitrous Kit :; Intake & Air Filter Blower Guard; Headers /; Computer ECU Eurocharged; Boost Control :; Pistons :; Pulley 65mm,,,6.33,,11.308,measured,dragtimes,https://www.dragtimes.com/Chrysler-Crossfire-Timeslip-32740.html,,
BUILD_661F4D00,,Chevrolet,Cruze,LS,2014.0,,Engine 1.8 LUW; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,7.16,,12.789,measured,dragtimes,https://www.dragtimes.com/Chevrolet-Cruze-Timeslip-32743.html,,
BUILD_AE802C33,,Ford,Mustang,LX,1993.0,,Engine 347; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Edelbrock rpm air gap; Headers /; Downpipe 1 5/8; Exhaust Carburetor; Computer ECU Battery:; Boost Control :; Pistons :; Pulley Transmission,,,6.4,,11.43,measured,dragtimes,https://www.dragtimes.com/Ford-Mustang-Timeslip-32745.html,,
BUILD_6E78C692,,Ford,Mustang Shelby-GT500,GT500,2007.0,,Engine 5.4L Iron Block; Turbos Supercharger:; Supercharger Stock M122; Intercooler VMP triple pass w/fans; Nitrous Kit :; Intake & Air Filter JLT 123mm; Headers /; Downpipe Midpipe; Exhaust Borla; Computer ECU VMP 93 tune; Clutch Differential; Boost Control :; Pistons :; Pulley 2.5,,,6.52,,11.644,measured,dragtimes,https://www.dragtimes.com/Ford-Mustang-Shelby-GT500-Timeslip-32755.html,,
BUILD_202EF72C,,Jaguar,XK,Car Year:,2007.0,,Engine AJ41 (4.4); Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe 400 cell; Exhaust XKR; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,7.64,,13.64,measured,dragtimes,https://www.dragtimes.com/Jaguar-XK-Timeslip-32736.html,,
BUILD_EC0B2F13,,Fiat,500,Abarth,2024.0,,Nitrous Kit :; Intake & Air Filter Custom 2.75”; Headers /; Downpipe Custom Decat; Boost Control :; Pistons :,,,8.08,,14.43,measured,dragtimes,https://www.dragtimes.com/Fiat-500-Timeslip-32747.html,,
BUILD_97EE0EAE,,Oldsmobile,Intrigue,GLS,1998.0,,Engine 3800 (L36); Nitrous Kit :; Intake & Air Filter ZZP Cold Air Intake; Headers /; Downpipe ZZP Front and Rear SS Power Logs; Exhaust Cat-Back OEM Exhaust; Computer ECU ZZP 1.0 PCM; Clutch Stock Torque Converter; Boost Control :; Pistons :; Pulley ZZP U / D Water Pump Pulley,,,8.35,,14.912,measured,dragtimes,https://www.dragtimes.com/Oldsmobile-Intrigue-Timeslip-32730.html,,
BUILD_6E626CE7,,BMW,135i,Coupe,2008.0,,Engine N54; Turbos Twin Turbos; Supercharger Boost Control; Intercooler 7.5” VRSF; Nitrous Kit :; Intake & Air Filter BMS Double Cone; Headers /; Downpipe VRSF; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,5.57,,9.94,measured,dragtimes,https://www.dragtimes.com/BMW-135i-Timeslip-32744.html,,
BUILD_32578663,,Audi,RS-3,Car Year:,2025.0,,Engine Turbos:; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.61,,11.797,measured,dragtimes,https://www.dragtimes.com/Audi-RS-3-Timeslip-32742.html,,
BUILD_18B6C875,,Dodge,Charger,Scat Pack,2018.0,,Nitrous Kit :; Headers /; Boost Control :; Pistons :,,,6.61,,11.801,measured,dragtimes,https://www.dragtimes.com/Dodge-Charger-Timeslip-31641.html,,
BUILD_90579EAA,,Dodge,Charger,Daytona Scat Pack EV,2024.0,,Engine EV; Turbos Supercharger:; Supercharger Boost Control; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley Transmission,,,6.4,,11.432,measured,dragtimes,https://www.dragtimes.com/Dodge-Charger-Timeslip-32709.html,,
BUILD_8F2008E7,,Jaguar,XKR,Convertible,2008.0,,Engine 4.2; Turbos Supercharger:; Intercooler Nitrous Kit/System; Nitrous Kit :; Intake & Air Filter Headers; Headers /; Downpipe Midpipe; Exhaust Carburetor; Computer ECU Battery:; Clutch Differential; Boost Control :; Pistons :; Pulley 1.5lb,426.0,,7.06,,12.61,measured,dragtimes,https://www.dragtimes.com/Jaguar-XKR-Timeslip-30329.html,,
BUILD_0B914A35,CAR_8A2CC4C4,Audi,A1,25 tfsi black edition 5dr,2018.0,MOD_3BD6FDD6,Stage 1 ECU Remap — Petrol Turbo,108.6,,9.66,,,synthetic,synthetic,synthetic,221.4,0.4
BUILD_96B5E7F5,CAR_8A2CC4C4,Audi,A1,25 tfsi black edition 5dr,2018.0,MOD_2F757445,Stage 2 ECU Remap — Petrol Turbo,124.9,,8.88,,,synthetic,synthetic,synthetic,243.2,0.4
BUILD_EB8BC3AD,CAR_8A2CC4C4,Audi,A1,25 tfsi black edition 5dr,2018.0,MOD_2CC340E6,Stage 3 ECU Remap — Petrol Turbo,141.0,,8.26,,,synthetic,synthetic,synthetic,274.0,0.4
